1 0.170884
3 0.0862066
4 0.0716209
5 0.0616745
6 0.0548151
7 0.0492405
9 0.0426485
11 0.0376496
13 0.0341378
15 0.0317223
19 0.027234
22 0.0251338
27 0.0223073
32 0.0200392
39 0.0184565
46 0.0169629
55 0.0151026
67 0.0133999
80 0.0121736
96 0.0104365
115 0.00944318
138 0.00866236
166 0.00737417
199 0.00665842
238 0.00727654
286 0.00682846
343 0.00655536
412 0.00588098
495 0.00481527
593 0.00466926
712 0.00460247
855 0.00352571
1025 0.00465212
1231 0.00324125
1477 0.00338863
1772 0.00245443
2126 0.00300621
2552 0.0018527
3062 0.00190791
3674 0.0018842
4409 0.00173247
5291 0.00218795
6349 0.0022451
7619 0.00202997
9143 0.00214349
